CustomerID,Name,Age,Gender,Country,JoinDate,PurchaseAmount,PaymentMethod,Email
CUST00572,Michael Gonzalez,63,Female,Australia,2022-08-14,115.73,Credit Card,michael.gonzalez572@example.com
CUST00147,Richard Davis,16,Female,Qatar,2018-04-13,121.59,Paypal,richard.davis147@example.com
CUST00362,Mary Taylor,53,Female,United Kingdom,2022-06-19,155.15,Credit Card,mary.taylor362@example.com
CUST00748,Karen Smith,18,Female,India,2022-03-05,247.22,Credit Card,karen.smith748@example.com
CUST00397,Michael Anderson,19,Female,India,2016-09-06,195.2,Paypal,michael.anderson397@example.com
CUST00657,Patricia Moore,9,Male,Canada,2018-01-19,101.47,Cash,patricia.moore657@example.com
CUST00434,Susan Thomas,46,Female,Japan,2020-11-04,130.28,Paypal,susan.thomas434@example.com
CUST00467,Michael Wilson,34,Female,India,2019-07-13,136.27,Cash,michael.wilson467@example.com
CUST00172,Joseph Davis,43,Male,France,2015-09-14,55.78,Debit Card,joseph.davis172@example.com
CUST00306,Jessica Taylor,57,Female,Brazil,2020-08-11,95.16,Cash,jessica.taylor306@example.com
CUST00404,Sarah Anderson,39,Female,United Kingdom,2019-06-27,181.31,Debit Card,sarah.anderson404@example.com
CUST00317,John Thomas,24,Female,France,2016-04-15,166.77,Credit Card,john.thomas317@example.com
CUST00838,Richard Jackson,28,Male,Qatar,2019-07-21,106.49,Cash,richard.jackson838@example.com
CUST00468,Joseph Johnson,40,Female,Australia,2018-08-23,120.23,Cash,joseph.johnson468@example.com
CUST00611,Karen Jones,47,Female,United States,2019-12-23,167.45,Paypal,karen.jones611@example.com
CUST00822,Barbara Williams,56,Male,United States,2019-02-24,130.06,Credit Card,barbara.williams822@example.com
CUST00749,Karen Moore,40,Male,Qatar,2021-05-12,121.59,Cash,karen.moore749@example.com
CUST00233,William Anderson,42,Male,Australia,2015-12-17,137.64,Cash,william.anderson233@example.com
CUST00730,Susan Wilson,34,Female,United States,2018-02-13,110.88,Credit Card,susan.wilson730@example.com
CUST00396,Barbara Martinez,27,Female,Brazil,2023-06-25,157.12,Cash,barbara.martinez396@example.com
CUST00794,Mary Johnson,31,Female,United States,2017-04-15,225.56,Cash,mary.johnson794@example.com
CUST00787,Jennifer Hernandez,32,Female,Qatar,2017-05-20,102.55,Paypal,jennifer.hernandez787@example.com
CUST00778,Jessica Johnson,67,Female,Canada,2018-12-10,51.67,Debit Card,jessica.johnson778@example.com
CUST00806,Susan Smith,22,Male,United States,2023-05-22,121.59,Cash,susan.smith806@example.com
CUST00025,Jennifer Hernandez,27,Female,United Kingdom,2015-09-03,121.38,Paypal,jennifer.hernandez25@example.com
CUST00926,Karen Garcia,38,Male,Canada,2018-11-09,83.09,Paypal,karen.garcia926@example.com
CUST00557,William Hernandez,46,Male,United States,2017-08-24,175.23,Cash,william.hernandez557@example.com
CUST00500,David Jones,36,Male,India,2015-05-15,177.66,Debit Card,david.jones500@example.com
CUST00010,Susan Williams,39,Female,Germany,2019-06-22,103.66,Credit Card,susan.williams10@example.com
CUST00424,Patricia Gonzalez,35,Male,Germany,2022-10-22,59.43,Paypal,patricia.gonzalez424@example.com
CUST00217,Michael Williams,40,Male,India,2015-01-02,112.41,Paypal,michael.williams217@example.com
CUST00408,Robert Taylor,37,Male,United States,2021-10-17,179.5,Cash,robert.taylor408@example.com
CUST00165,James Jones,34,Female,United States,2020-05-25,119.6,Paypal,james.jones165@example.com
CUST00061,David Davis,31,Female,Qatar,2019-04-21,49.76,Cash,david.davis61@example.com
CUST00169,David Jackson,2,Female,France,2019-12-12,57.42,Credit Card,david.jackson169@example.com
CUST00164,Richard Johnson,43,Male,Canada,2024-10-06,145.9,Paypal,richard.johnson164@example.com
CUST00026,Charles Johnson,34,Female,France,2021-04-26,88.68,Credit Card,charles.johnson26@example.com
CUST00410,Jennifer Smith,50,Female,Brazil,2018-07-12,140.09,Credit Card,jennifer.smith410@example.com
CUST00418,William Miller,38,Male,United Kingdom,2023-08-20,84.02,Cash,william.miller418@example.com
CUST00617,Linda Martin,55,Female,United States,2015-02-18,83.57,Cash,linda.martin617@example.com
CUST00781,Michael Rodriguez,57,Female,France,2024-01-25,156.06,Cash,michael.rodriguez781@example.com
CUST00795,David Davis,52,Female,Qatar,2015-11-14,109.35,Cash,david.davis795@example.com
CUST00541,Patricia Martinez,25,Female,Germany,2021-11-12,159.64,Cash,patricia.martinez541@example.com
CUST00286,Richard Wilson,47,Female,Canada,2023-01-17,82.76,Cash,richard.wilson286@example.com
CUST00126,Elizabeth Thomas,55,Female,Qatar,2021-02-04,48.32,Cash,elizabeth.thomas126@example.com
CUST00285,Mary Martin,38,Female,Japan,2020-08-06,237.16,Cash,mary.martin285@example.com
CUST00774,Patricia Gonzalez,25,Male,Qatar,2020-05-06,76.55,Paypal,patricia.gonzalez774@example.com
CUST00014,John Anderson,40,Male,Germany,2023-01-21,130.47,Cash,john.anderson14@example.com
CUST00223,William Jones,45,Male,Japan,2020-12-14,126.63,Credit Card,william.jones223@example.com
CUST00050,Charles Williams,51,Male,Germany,2015-06-06,115.59,Credit Card,charles.williams50@example.com
CUST00100,Charles Moore,39,Male,India,2020-11-07,163.6,Paypal,charles.moore100@example.com
CUST00511,Patricia Williams,46,Female,France,2023-11-06,191.87,Credit Card,patricia.williams511@example.com
CUST00753,Charles Martin,38,Female,Australia,2021-08-19,123.51,Credit Card,charles.martin753@example.com
CUST00930,Thomas Brown,38,Female,India,2024-11-25,175.64,Paypal,thomas.brown930@example.com
CUST00985,Karen Martinez,38,Male,United States,2022-10-21,129.23,Paypal,karen.martinez985@example.com
CUST00114,Jessica Smith,21,Female,United States,2016-06-05,130.04,Paypal,jessica.smith114@example.com
CUST00447,Mary Jones,55,Female,Brazil,2015-02-03,112.37,Credit Card,mary.jones447@example.com
CUST00095,Thomas Garcia,27,Female,Australia,2022-09-15,169.5,Cash,thomas.garcia95@example.com
CUST00701,Elizabeth Martin,45,Male,Australia,2019-07-11,158.46,Debit Card,elizabeth.martin701@example.com
