CustomerID,Name,Age,Gender,Country,JoinDate,PurchaseAmount,PaymentMethod,Email
CUST00572,Michael Gonzalez,63,Female,Australia,14-08-22,115.73,Credit Card,michael.gonzalez572@example.com
CUST00147,Richard Davis,16,FEMALE,Qatar,13-Apr-18,,PayPal,richard.davis147@example.com
CUST00362,Mary Taylor,53,female,United Kingdom,06/19/2022,155.15,Credit Card,mary.taylor362@example.com
CUST00748,Karen Smith,18,FEMALE,India,03-05-22,1157.09,Credit Card,karen.smith748@example.com
CUST00397,Michael Anderson,19,female,India,09-06-16,195.2,paypal,michael.anderson397@example.com
CUST00657,Patricia Moore,9,M,Canada,1/19/2018,101.47,cash,patricia.moore657@example.com
CUST00434,Susan Thomas,46,F,Japan,04-Nov-20,130.28,PayPal,susan.thomas434@example.com
CUST00467,Michael Wilson,34,female,India,07/13/2019,136.27,CASH,michael.wilson467@example.com
CUST00172,Joseph Davis,43,M,France,14-09-15,55.78,Debit Card,joseph.davis172@example.com
CUST00306,Jessica Taylor,57,F,Brazil,08-11-20,95.16,Cash,jessica.taylor306@example.com
CUST00404,Sarah Anderson,39,female,UK,27-Jun-19,181.31,debit card,sarah.anderson404@example.com
CUST00317,John Thomas,24,female,France,15-04-16,166.77,Credit Card,john.thomas317@example.com
CUST00838,Richard Jackson,28,male,Qatar,21-07-19,106.49,CASH,richard.jackson838@example.com
CUST00468,Joseph Johnson,40,F,Australia,23-Aug-18,120.23,Cash,joseph.johnson468@example.com
CUST00611,Karen Jones,47,Female,USA,23-12-19,167.45,PayPal,karen.jones611@example.com
CUST00822,Barbara Williams,56,M,United States,24-02-19,130.06,credit card,barbara.williams822@example.com
CUST00818,Karen Moore,40,female,United States,,101.75,CASH,karen.moore818@example.com
CUST00749,Karen Moore,40,MALE,Qatar,05-12-21,,cash,karen.moore749@example.com
CUST00233,William Anderson,42,Male,Australia,12/17/2015,137.64,Cash,william.anderson233@example.com
CUST00730,Susan Wilson,34,FEMALE,USA,13-Feb-18,110.88,credit card,susan.wilson730@example.com
CUST00396,Barbara Martinez,27,Female,Brazil,25-06-23,157.12,CASH,barbara.martinez396@example.com
CUST00794,Mary Johnson,31,,United States,4/15/2017,225.56,Cash,mary.johnson794@example.com
CUST00787,Jennifer Hernandez,32,FEMALE,Qatar,20-May-17,102.55,PayPal,jennifer.hernandez787@example.com
CUST00778,Jessica Johnson,67,female,Canada,10-Dec-18,51.67,debit card,jessica.johnson778@example.com
CUST00806,Susan Smith,22,M,USA,05/22/2023,,Cash,susan.smith806@example.com
CUST00025,Jennifer Hernandez,27,,United Kingdom,09-03-15,121.38,PayPal,jennifer.hernandez25@example.com
